Славянск	Slavyansk-na-Kubani
Отрадный	Otradny,_Samara_Oblast
Оросу	Orosu
Обнинск	Obninsk
Титовка	Titovka,_Murmansk_Oblast
Район Чертаново Северное	Chertanovo_Severnoye_District
Даргавс	Dargavs
Беляевский район	Belyayevsky_District
Сусуман	Susuman
Трубчевск	Trubchevsk
Дальнегорск	Dalnegorsk
Радищевский район	Radishchevsky_District
Кропоткин	Kropotkin,_Krasnodar_Krai
Уральский	Uralsky,_Sverdlovsk_Oblast
Залегощенский район	Zalegoshchensky_District
Рязанская область	Ryazan_Oblast
Верхняя Тура	Verkhnyaya_Tura
Маймага	Maymaga
Кумылженский район	Kumylzhensky_District
Кировск	Kirovsk,_Murmansk_Oblast
Усть-Коксинский район	Ust-Koksinsky_District
Манас	Manas_(urban-type_settlement)
Водный	Vodny,_Komi_Republic
Серафимовичский район	Serafimovichsky_District
Ершов	Yershov,_Saratov_Oblast
Карсунский район	Karsunsky_District
Анапа	Anapa
Балахнинский район	Balakhninsky_District
Приозерский район	Priozersky_District
Рощино	Roshchino,_Leningrad_Oblast
Балаганнах	Balagannakh,_Verkhnevilyuysky_District,_Sakha_Republic
Рефтинский	Reftinsky
Карачаевск	Karachayevsk
Жердевка	Zherdevka,_Tambov_Oblast
Большемурашкинский район	Bolshemurashkinsky_District
Апатиты	Apatity
Карпогоры	Karpogory
Промышленный	Promyshlenny,_Komi_Republic
Ладушкин	Ladushkin
Дмитровский район	Dmitrovsky_District,_Oryol_Oblast
Крохино	Krokhino,_Vologda_Oblast
Милославский район	Miloslavsky_District
Магас	Magas
Дёску	Dyosku
Ардатов	Ardatov_(town),_Republic_of_Mordovia
Аргас	Argas,_Sakha_Republic
Каневка	Kanevka
Плёс	Plyos,_Ivanovo_Oblast
Багаевский район	Bagayevsky_District
Кыштым	Kyshtym
Апшеронск	Apsheronsk
Бердинка	Berdinka
Поворинский район	Povorinsky_District
Туманный	Tumanny
Уянди	Uyandi
Ченгере	Chengere
Уорай	Uoray
Приютово	Priyutovo,_Republic_of_Bashkortostan
Можайский район	Mozhaysky_District,_Moscow_Oblast
Калининский район	Kalininsky_District,_Tver_Oblast
Устье	Ustye,_Ust-Kubinsky_District,_Vologda_Oblast
Россошанский район	Rossoshansky_District
Пластун	Plastun_(urban-type_settlement)
Мар	Mar,_Russia
Ёна	Yona,_Russia
Красноуфимск	Krasnoufimsk
Большеулуйский район	Bolsheuluysky_District
Шебалинский район	Shebalinsky_District
Жердевский район	Zherdevsky_District
Зверево	Zverevo
Эртильский район	Ertilsky_District
Сураж	Surazh
